listing_ID,town,est_rental_revenue_median,estimated_ADR,Est_adj_occupancy,active_days,booking_window,length_of_stay,dynamic_pricing,min_stay,management,Bedrooms,bathrooms,max_guests,listed_price,is_active,economic_Category,blocked_days,rating,Num_Reviews,beachfront,hot_tub,EV_charger,kitchen,pool,pets_allowed,smoking_allowed
14925582,Southend-on-sea,3070,105.86,11,274,4,6,None,1,Small,3,1.5,5,122,Yes,Midscale,92,4.93,28,No,No,No,Yes,No,No,No
1233876062712997867,Southend-on-sea,3682,96.9,57,67,0,22,Moderate,2,Large,3,1,6,111,No,Midscale,11,4.69,0,No,No,No,Yes,No,No,No
1180970131217379595,Southend-on-sea,3745,107.01,33,106,8,13,None,2,Small,3,1,6,165,Yes,Midscale,222,0,0,No,No,No,Yes,No,No,No
1128902707220842780,Southend-on-sea,3936,119.26,42,79,8,26,None,1,Individual,3,1,5,173,No,Midscale,24,N/A,1,No,No,No,Yes,No,Yes,Yes
1289071023193722818,Southend-on-sea,4091,95.15,88,49,47,3,Moderate,2,Individual,3,2,6,98,Yes,Midscale,107,4.44,18,No,No,No,Yes,No,Yes,No
778987381470568324,Southend-on-sea,4129,187.67,9,239,71,7,None,3,Individual,3,3.5,5,233,Yes,Upscale,127,0,0,No,No,No,Yes,No,No,No
1046383335825314102,Southend-on-sea,4463,85.83,60,87,44,24,None,1,Small,3,1.5,7,117,No,Midscale,0,5,3,No,No,No,Yes,No,Yes,No
892743797926086305,Southend-on-sea,4532,141.63,26,122,1,22,None,3,Small,3,1.5,6,202,Yes,Upscale,114,N/A,0,No,No,No,Yes,No,Yes,No
1292115730021101087,Southend-on-sea,4731,75.09,41,155,5,7,None,2,Individual,3,1,6,95,Yes,Midscale,25,4,1,No,No,No,Yes,No,No,No
779502117920219532,Southend-on-sea,5220,84.19,49,127,2,6,None,1,Individual,3,1,5,107,No,Midscale,25,4.3,10,No,No,No,Yes,No,No,No
1265717207554883295,Southend-on-sea,5358,137.37,76,51,20,11,Moderate,1,Small,3,1.5,6,189,No,Midscale,26,4.81,0,No,No,No,Yes,No,Yes,No
46999412,Southend-on-sea,5600,73.69,65,117,9,16,None,4,Large,3,1,4,84,Yes,Midscale,52,5,4,No,No,No,Yes,No,No,No
1246955765329016870,Southend-on-sea,5606,95.02,80,74,63,59,None,7,Small,3,1,5,108,Yes,Midscale,138,5,1,No,No,No,Yes,No,No,No
1165715729429826243,Southend-on-sea,6068,134.84,49,92,11,18,Low,7,Individual,3,1.5,3,161,Yes,Midscale,235,3.5,2,No,No,No,Yes,No,Yes,No
