listing_ID,town,est_rental_revenue_median,estimated_ADR,Est_adj_occupancy,active_days,booking_window,length_of_stay,dynamic_pricing,min_stay,management,Bedrooms,bathrooms,max_guests,listed_price,is_active,economic_Category,blocked_days,rating,Num_Reviews,beachfront,hot_tub,EV_charger,kitchen,pool,pets_allowed,smoking_allowed
1305239269239446863,Grays,0,N/A,0,42,N/A,N/A,None,3,Small,2,2,4,119,No,N/A,11,N/A,0,No,No,No,Yes,No,No,No
1323330681470281939,Grays,0,N/A,0,25,N/A,N/A,None,1,Small,2,2,4,116,No,N/A,25,5,1,No,No,No,Yes,No,No,No
960377081653062660,Grays,0,N/A,0,314,N/A,N/A,None,3,Individual,2,2.5,4,136,Yes,N/A,52,4,1,No,No,No,Yes,No,No,No
1270246391535349924,Grays,0,N/A,0,83,N/A,N/A,None,1,Individual,2,1,4,211,No,N/A,0,N/A,0,No,No,No,Yes,No,No,No
660855460760807240,Grays,0,N/A,0,363,N/A,N/A,Low,4,Small,2,1.5,5,147,Yes,N/A,3,3,1,No,No,No,Yes,No,No,No
52663689,Grays,0,N/A,0,353,N/A,N/A,None,4,Large,2,1,6,139,Yes,N/A,13,N/A,0,No,No,No,Yes,No,Yes,No
706265250568222371,Grays,0,N/A,0,113,N/A,N/A,None,1,Large,2,2,5,257,No,N/A,135,4.42,0,No,No,No,Yes,No,No,No
939662618710519371,Grays,0,N/A,0,189,N/A,N/A,None,1,Large,2,1,4,191,No,N/A,143,N/A,0,No,No,No,Yes,No,No,No
963143518747454000,Grays,0,N/A,0,122,N/A,N/A,None,1,Small,2,2,6,139,No,N/A,0,N/A,0,No,No,No,Yes,No,No,No
42587344,Grays,0,N/A,0,184,N/A,N/A,None,4,Large,2,1,7,134,Yes,N/A,182,N/A,0,No,No,No,Yes,No,Yes,No
26597780,Grays,0,N/A,0,101,N/A,N/A,None,1,Individual,2,1,4,91,No,N/A,0,N/A,0,No,No,No,Yes,No,No,No
1334836313770811991,Grays,0,N/A,0,29,N/A,N/A,None,1,Large,2,1,6,121,No,N/A,31,N/A,0,No,No,No,Yes,No,No,No
896059582161313126,Grays,0,N/A,0,116,N/A,N/A,None,3,Small,2,1,5,122,Yes,N/A,250,5,1,No,No,No,Yes,No,No,No
791926704896786431,Grays,0,N/A,0,163,N/A,N/A,None,3,Large,2,1,5,166,Yes,N/A,146,5,0,No,No,No,Yes,No,No,No
885025293503359951,Grays,0,N/A,0,42,N/A,N/A,None,1,Small,2,1,1,59,No,N/A,0,N/A,0,No,No,No,Yes,No,No,No
883396696122386086,Grays,0,N/A,0,52,N/A,N/A,Low,3,Moderate,2,1,6,137,Yes,N/A,2,N/A,0,No,No,No,Yes,No,No,No
626713489685202713,Grays,0,N/A,0,23,N/A,N/A,None,7,Small,2,1.5,4,82,No,N/A,63,5,1,No,No,No,Yes,No,No,No
817982673031712409,Grays,0,N/A,0,117,N/A,N/A,None,1,Small,2,1,6,130,No,N/A,5,N/A,0,No,No,No,Yes,No,No,No
1061643047963146479,Grays,0,N/A,0,94,N/A,N/A,Moderate,1,Small,2,2,5,193,No,N/A,79,0,0,No,No,No,Yes,No,No,No
637389191441473401,Grays,0,N/A,0,54,N/A,N/A,Low,1,Large,2,2,5,206,No,N/A,37,N/A,0,No,No,No,Yes,No,No,No
991120607387030667,Grays,92,92.39,0,366,48,1,None,1,Individual,2,1,4,122,Yes,Midscale,0,0,0,No,No,No,Yes,No,No,No
1313697930060987731,Grays,567,113.31,4,136,0,5,None,4,Moderate,2,1,5,130,Yes,Upscale,3,N/A,0,No,No,No,Yes,No,Yes,No
1113554334949213069,Grays,597,119.41,10,49,2,5,None,1,Large,2,2,4,152,No,Upscale,96,4.42,0,No,No,No,Yes,No,No,No
48044279,Grays,627,156.73,13,30,117,4,Low,2,Moderate,2,2,5,175,No,Upscale,43,5,4,No,No,No,Yes,No,No,No
1339734188104641921,Grays,689,86.08,15,54,7,6,None,2,Large,2,1,5,128,Yes,Midscale,58,N/A,0,No,No,No,Yes,No,No,No
1297098361098380020,Grays,725,103.58,20,35,3,4,Low,3,Small,2,1,4,121,No,Midscale,48,N/A,0,No,No,No,Yes,No,No,No
707159416476506619,Grays,767,95.82,5,154,0,8,Low,1,Large,2,1,5,144,No,Midscale,118,5,4,No,No,No,Yes,No,No,No
1327757011716829745,Grays,831,103.88,8,104,5,3,None,1,Individual,2,2,3,116,Yes,Midscale,8,5,2,No,No,No,Yes,No,No,No
823024826954796783,Grays,894,111.79,13,64,0,5,None,2,Individual,2,1,4,137,No,Upscale,1,5,1,No,No,No,Yes,No,No,No
1232654108694701450,Grays,1211,110.05,15,73,4,4,None,3,Individual,2,1,4,116,Yes,Upscale,64,5,2,No,No,No,Yes,No,No,No
1111585430791415621,Grays,1254,125.38,20,50,1,10,None,1,Large,2,1,4,144,No,Upscale,93,5,1,No,No,No,Yes,No,No,No
841839303336492359,Grays,1341,70.6,15,131,126,19,None,1,Individual,2,1,4,86,No,Midscale,0,N/A,0,No,No,No,Yes,No,No,No
1029075368162869978,Grays,1398,93.19,19,79,14,4,None,3,Individual,2,1,4,112,Yes,Midscale,281,N/A,0,No,No,No,Yes,No,No,No
1206447838483982168,Grays,1736,144.69,12,104,0,12,Unknown,1,Unknown,2,1,5,167,No,Upscale,127,4.42,0,No,No,No,Yes,No,No,No
1313627075795796786,Grays,1805,75.21,44,55,37,7,None,4,Small,2,1,3,122,Yes,Midscale,93,N/A,0,No,No,No,Yes,No,No,No
1146359663308241278,Grays,1957,85.09,7,343,3,7,None,3,Moderate,2,1,4,128,Yes,Midscale,19,4,1,No,No,No,Yes,No,No,No
800605850349791312,Grays,1995,58.69,74,46,1,2,None,60,Individual,2,1,3,76,No,Economy,6,N/A,0,No,No,No,Yes,No,No,No
1300841520245895654,Grays,2013,28.35,99,72,0,14,None,7,Individual,2,1,4,35,No,Economy,12,N/A,0,No,No,No,Yes,No,No,No
1339093830414323513,Grays,2025,84.36,42,57,5,5,Low,1,Individual,2,1,5,100,Yes,Midscale,39,N/A,0,No,No,No,Yes,No,No,No
1147941269330571524,Grays,2613,108.88,69,35,6,5,Low,2,Small,2,1,4,133,No,Upscale,14,N/A,0,No,No,No,Yes,No,No,No
1221810589436294296,Grays,2620,58.23,68,66,3,17,Unknown,2,Unknown,2,1,4,80,No,Economy,58,0,0,No,No,No,Yes,No,Yes,No
1087074166890795584,Grays,3222,82.62,14,280,0,32,None,3,Small,2,1,6,117,No,Midscale,4,N/A,0,No,No,No,Yes,No,No,No
657657741257950280,Grays,3459,192.16,14,130,17,4,None,3,Small,2,2.5,4,234,Yes,Upscale,236,4.92,0,No,No,No,Yes,No,No,No
1326056725254020199,Grays,3473,86.81,35,113,2,4,None,1,Individual,2,1,4,114,Yes,Midscale,14,N/A,0,No,No,No,Yes,No,No,No
705875703433931297,Grays,3479,96.63,10,363,0,16,None,7,Moderate,2,1,5,133,Yes,Midscale,3,4.33,3,No,No,No,Yes,No,No,No
857925493442744484,Grays,3874,96.85,11,353,5,5,None,2,Small,2,2,4,188,Yes,Midscale,13,5,3,No,No,No,Yes,No,No,No
1330017083276258662,Grays,4089,60.13,68,100,19,21,None,1,Moderate,2,1,5,74,Yes,Economy,6,5,1,No,No,No,Yes,No,No,No
1075850774568908383,Grays,4172,64.18,66,98,1,17,None,2,Individual,2,2,2,89,No,Economy,0,N/A,2,No,No,Yes,Yes,No,No,No
1249851827411212890,Grays,4518,94.12,24,203,14,7,None,3,Small,2,1,5,107,Yes,Midscale,14,4.86,7,No,No,No,Yes,No,No,No
655114184904516515,Grays,4787,92.05,66,79,31,5,Low,3,Small,2,1,6,124,No,Midscale,6,4.25,4,No,No,No,Yes,No,No,No
1289167295130630488,Grays,5309,88.49,41,147,2,8,None,2,Individual,2,1,4,106,Yes,Midscale,5,5,5,No,No,No,Yes,No,No,No
810815398213304127,Grays,5362,105.15,100,51,31,27,None,3,Small,2,2,4,131,No,Upscale,76,4.91,11,No,No,No,No,No,No,No
1343672550361276060,Grays,6642,120.76,62,89,5,4,None,1,Individual,2,1,5,131,Yes,Upscale,7,5,8,No,No,No,Yes,No,No,No
1154295089208769745,Grays,7090,82.44,83,104,20,3,Low,1,Individual,2,1,4,98,No,Midscale,39,4.69,13,No,No,No,Yes,No,Yes,No
558538583857405865,Grays,7560,93.33,27,304,2,33,None,4,Moderate,2,2,5,133,Yes,Midscale,62,5,1,No,No,No,Yes,No,No,No
1301676430591760091,Grays,7728,104.44,58,128,7,18,None,3,Small,2,2,5,133,Yes,Midscale,9,4.67,3,No,No,No,Yes,No,No,No
1005155887664093099,Grays,7949,82.8,65,147,2,40,None,2,Moderate,2,1,4,113,No,Midscale,79,4,1,No,No,No,Yes,No,No,No
747765704472974456,Grays,8163,74.21,97,113,30,18,Low,10,Individual,2,2,4,96,Yes,Midscale,253,0,0,No,No,No,Yes,No,No,No
1085510208960129527,Grays,8818,76.68,68,170,2,12,Low,2,Individual,2,2,5,104,Yes,Midscale,7,5,2,No,No,No,Yes,No,No,No
1241719672796167449,Grays,8840,90.2,88,112,43,35,Low,2,Individual,2,1.5,4,125,Yes,Midscale,132,5,4,No,No,No,Yes,No,No,No
45266603,Grays,9461,103.97,37,247,20,16,None,2,Moderate,2,1,4,125,Yes,Midscale,119,3.8,5,No,No,No,Yes,No,No,No
51101846,Grays,10069,64.13,92,171,29,33,Moderate,2,Individual,2,1,4,93,Yes,Economy,195,4.9,21,No,No,No,Yes,No,No,No
1130350168323088425,Grays,10643,73.4,51,283,9,6,Low,2,Moderate,2,1,4,94,No,Midscale,51,2.67,3,No,No,No,Yes,No,No,No
1057333093088265128,Grays,10927,86.04,39,327,1,9,None,3,Individual,2,1,4,113,Yes,Midscale,39,4.63,8,No,No,No,Yes,No,No,No
935349301874458937,Grays,11250,102.27,38,289,1,16,None,3,Moderate,2,1,5,128,Yes,Midscale,77,4,3,No,No,No,Yes,No,No,No
560224561687362245,Grays,11288,93.29,90,135,31,8,None,2,Small,2,1.5,5,110,No,Midscale,5,4.48,29,No,No,No,Yes,No,No,No
910310628764185831,Grays,11843,99.52,84,142,11,34,None,2,Individual,2,2,3,114,Yes,Midscale,110,4.55,11,No,No,No,Yes,No,No,No
925263046219101592,Grays,11851,82.87,72,200,18,6,None,1,Individual,2,1,3,110,No,Midscale,103,4.62,13,No,No,No,Yes,No,No,Yes
1170196959426936728,Grays,11900,88.81,58,233,5,25,None,7,Small,2,2,2,85,Yes,Midscale,111,4.8,5,No,No,No,Yes,No,No,No
723760433059562124,Grays,11965,71.65,97,173,1,2,Low,24,Individual,2,2,2,95,Yes,Midscale,193,4.75,4,No,No,No,Yes,No,No,No
1026173947141300429,Grays,11974,122.19,61,160,14,7,None,2,Individual,2,1.5,4,154,No,Upscale,46,4.94,17,No,No,No,Yes,No,No,No
1147815288287555649,Grays,11990,92.94,53,242,13,4,None,2,Small,2,1,6,126,No,Midscale,60,0,0,No,No,No,Yes,No,No,No
1210808000417398397,Grays,12229,78.39,66,238,15,18,None,2,Small,2,1,5,116,Yes,Midscale,49,5,1,No,No,No,Yes,No,No,No
1005791919588392986,Grays,12509,71.07,49,362,36,11,None,5,Small,2,1,6,93,Yes,Midscale,4,4.46,13,No,No,No,Yes,No,No,No
1130279820016468717,Grays,12905,72.5,53,335,8,5,Moderate,2,Small,2,1,4,85,Yes,Midscale,31,4.44,16,No,No,No,Yes,No,No,No
875422311825567745,Grays,12977,107.25,70,173,18,24,Low,3,Small,2,1,4,128,No,Upscale,25,4.91,11,No,No,No,Yes,No,No,No
1254943295934928177,Grays,13882,109.31,59,215,8,9,None,2,Moderate,2,2,6,147,Yes,Upscale,12,5,2,No,No,No,Yes,No,No,No
780357060814018608,Grays,14005,84.37,47,350,7,12,None,2,Small,2,1,5,114,Yes,Midscale,16,4.33,6,No,No,No,Yes,No,No,No
53091467,Grays,14262,93.83,47,323,8,14,None,3,Individual,2,2,4,129,Yes,Midscale,28,4.95,20,No,No,No,Yes,No,No,No
1016643321182502314,Grays,14546,84.57,64,270,20,10,None,2,Individual,2,1,3,103,Yes,Midscale,96,5,18,No,No,No,Yes,No,No,No
709438168561814699,Grays,15006,66.99,92,243,82,21,None,5,Individual,2,2,4,86,Yes,Midscale,123,4.87,23,No,No,No,Yes,No,No,No
722517807243583116,Grays,15149,88.07,89,194,28,22,None,2,Individual,2,2,2,116,Yes,Midscale,172,4.93,15,No,No,No,Yes,No,No,No
1156986261836779288,Grays,16021,86.13,71,261,16,7,None,2,Large,2,2,4,128,Yes,Midscale,101,4.33,3,No,No,No,Yes,No,No,No
50800432,Grays,16264,92.94,65,268,9,7,None,2,Moderate,2,2,4,115,Yes,Midscale,23,4.53,40,No,No,No,Yes,No,No,No
783814636267727848,Grays,16436,97.83,51,330,13,28,None,3,Moderate,2,1,4,128,Yes,Midscale,36,4.9,10,No,No,No,Yes,No,No,No
926892023796489340,Grays,16765,71.64,71,329,1,14,High,2,Moderate,2,1,5,97,Yes,Midscale,37,5,5,No,No,No,Yes,No,No,No
632333309713160816,Grays,16962,93.71,53,339,4,8,Low,2,Individual,2,1,4,116,Yes,Midscale,27,4.91,32,No,No,No,Yes,No,No,No
1195624649010334689,Grays,17169,104.06,80,206,11,17,Unknown,1,Unknown,2,2,4,147,Yes,Midscale,69,5,3,No,No,No,Yes,No,No,No
37582667,Grays,17178,89.47,56,343,22,8,Low,2,Individual,2,1,4,95,Yes,Midscale,23,4.94,155,No,No,No,Yes,No,No,No
1036000583582535870,Grays,17972,106.34,51,330,15,6,None,2,Individual,2,2,4,124,Yes,Upscale,36,5,23,No,No,No,Yes,No,No,No
33358533,Grays,19720,99.6,62,319,24,4,Moderate,3,Small,2,1,4,104,Yes,Midscale,47,4.83,103,No,No,No,Yes,No,No,No
1064411891546677940,Grays,20634,84.91,90,270,14,28,None,3,Small,2,1,5,120,No,Midscale,0,3,1,No,No,No,Yes,No,No,No
891782809250249217,Grays,21026,87.61,73,328,7,11,None,2,Small,2,1,8,128,Yes,Midscale,38,5,0,No,No,No,Yes,No,No,No
689493117509916557,Grays,21174,120.99,49,357,31,5,None,2,Individual,2,2,4,145,Yes,Upscale,9,5,29,No,No,No,Yes,No,No,No
1064878966979065154,Grays,23366,89.87,78,333,11,8,Low,3,Individual,2,1,4,98,Yes,Midscale,33,4.92,25,No,No,No,Yes,No,No,No
597055277769555098,Grays,26906,94.41,81,352,12,6,None,2,Moderate,2,2.5,4,118,Yes,Midscale,14,5,18,No,No,No,Yes,No,No,No
10030926,Grays,27478,90.39,95,319,81,9,Moderate,3,Individual,2,1,5,104,Yes,Midscale,6,4.89,18,No,No,No,Yes,No,No,No
979781357471344936,Grays,27537,93.03,84,351,7,29,None,14,Large,2,1,3,113,Yes,Midscale,15,5,5,No,No,No,Yes,No,No,No
610062736647342421,Grays,30009,113.67,79,336,36,6,Low,4,Small,2,2,5,131,Yes,Upscale,30,4.86,65,No,No,No,Yes,No,No,No
32458467,Southend-on-Sea,0,N/A,0,122,N/A,N/A,None,1,Individual,2,1,4,72,No,N/A,0,4.95,431,No,No,No,Yes,No,Yes,No
878274812805060285,Southend-on-Sea,0,N/A,0,167,N/A,N/A,None,1,Large,2,2,4,179,No,N/A,154,1,1,No,No,No,Yes,No,No,No
921404282143159174,Southend-on-Sea,0,N/A,0,137,N/A,N/A,None,3,Individual,2,1,5,161,Yes,N/A,229,0,0,No,No,No,Yes,No,Yes,No
978820063000982762,Southend-on-Sea,0,N/A,0,176,N/A,N/A,None,60,Individual,2,1,4,101,Yes,N/A,190,0,0,No,No,No,Yes,No,No,No
32889189,Southend-on-Sea,0,N/A,0,275,N/A,N/A,None,20,Small,2,1,5,137,Yes,N/A,91,4.75,4,No,No,No,Yes,No,Yes,No
1079932320577926959,Southend-on-Sea,0,N/A,0,27,N/A,N/A,High,20,Small,2,1,4,140,No,N/A,83,N/A,1,No,No,No,Yes,No,No,No
1032643115170430786,Southend-on-Sea,0,N/A,0,177,N/A,N/A,None,1,Individual,2,1,6,143,Yes,N/A,189,0,0,No,No,No,Yes,No,No,No
991120607387030667,Southend-on-Sea,92,92.39,0,366,48,1,None,1,Individual,2,1,4,122,Yes,Midscale,0,0,0,No,No,No,Yes,No,No,No
1339734188104641921,Southend-on-Sea,689,86.08,15,54,7,6,None,2,Large,2,1,5,128,Yes,Midscale,58,N/A,0,No,No,No,Yes,No,No,No
733136277115449421,Southend-on-Sea,700,116.64,2,359,17,1,None,1,Individual,2,1,4,143,Yes,Upscale,7,0,0,No,No,No,Yes,No,No,No
901397225309627277,Southend-on-Sea,793,113.31,3,229,3,7,None,7,Moderate,2,1,5,146,Yes,Upscale,137,4.83,0,No,No,No,Yes,No,Yes,No
1215315417654296284,Southend-on-Sea,811,135.19,5,111,52,18,Low,3,Small,2,1,4,150,No,Upscale,9,0,0,No,No,No,Yes,No,No,No
1125868511930364515,Southend-on-Sea,1343,61.04,31,70,3,7,Low,2,Individual,2,1,5,88,No,Economy,25,5,1,No,No,No,Yes,No,Yes,No
901982554253254498,Southend-on-Sea,1471,98.1,5,294,20,2,None,1,Small,2,1,5,121,Yes,Midscale,72,0,0,No,Yes,No,Yes,No,No,No
1070198438918538731,Southend-on-Sea,1597,76.07,49,43,47,10,None,1,Individual,2,2,5,101,No,Midscale,10,N/A,0,No,No,No,Yes,No,Yes,No
1044104605772401512,Southend-on-Sea,1773,98.5,8,218,0,14,None,30,Small,2,1,4,116,Yes,Midscale,5,4.75,0,No,No,No,Yes,No,Yes,No
1313627075795796786,Southend-on-Sea,1805,75.21,44,55,37,7,None,4,Small,2,1,3,122,Yes,Midscale,93,N/A,0,No,No,No,Yes,No,No,No
1339093830414323513,Southend-on-Sea,2025,84.36,42,57,5,5,Low,1,Individual,2,1,5,100,Yes,Midscale,39,N/A,0,No,No,No,Yes,No,No,No
776022530523696995,Southend-on-Sea,2115,78.34,23,119,7,4,None,1,Individual,2,1,6,86,No,Midscale,2,4.68,25,No,No,No,Yes,No,No,No
1292864940668497511,Southend-on-Sea,2119,70.63,21,144,6,7,None,1,Small,2,1,4,87,Yes,Midscale,7,3.67,3,No,No,No,Yes,No,No,No
590521385136212539,Southend-on-Sea,2204,73.46,30,101,10,8,None,5,Moderate,2,2,4,87,Yes,Midscale,2,5,10,No,No,No,Yes,No,No,No
1177536397941446940,Southend-on-Sea,2273,75.76,37,81,7,4,None,3,Small,2,1,4,96,No,Midscale,136,3,2,No,No,No,No,No,No,No
876672562359003294,Southend-on-Sea,2284,120.19,8,252,1,11,None,3,Small,2,1.5,4,155,Yes,Upscale,114,4,0,No,No,No,Yes,No,No,No
1286942871385916557,Southend-on-Sea,2655,85.64,55,56,20,4,Moderate,2,Individual,2,1,4,92,Yes,Midscale,98,4.75,4,No,No,No,Yes,No,No,No
1212188293275865752,Southend-on-Sea,2721,93.83,42,69,77,4,Unknown,1,Unknown,2,1,6,136,Yes,Midscale,206,5,5,No,No,No,Yes,No,Yes,No
901388284849960045,Southend-on-Sea,2837,91.52,12,258,8,31,None,7,Moderate,2,1,5,182,Yes,Midscale,108,4.83,0,No,No,No,Yes,No,Yes,No
1278899052581181219,Southend-on-Sea,3080,102.65,21,142,10,7,High,3,Large,2,1,6,121,Yes,Midscale,43,2.5,2,No,No,No,Yes,No,No,No
50538210,Southend-on-Sea,3231,403.93,12,69,0,4,Low,3,Large,2,1,6,465,No,Upscale,53,4.5,18,No,No,No,Yes,No,No,No
1357146236192125209,Southend-on-Sea,3387,91.53,46,80,16,10,None,1,Small,2,1,4,133,Yes,Midscale,6,N/A,0,No,No,No,Yes,No,No,No
657657741257950280,Southend-on-Sea,3459,192.16,14,130,17,4,None,3,Small,2,2.5,4,234,Yes,Upscale,236,4.92,0,No,No,No,Yes,No,No,No
31344495,Southend-on-Sea,3865,96.63,24,167,37,8,None,2,Small,2,1,2,106,Yes,Midscale,199,4.71,7,No,No,No,Yes,No,No,No
1083065568540237287,Southend-on-Sea,3869,113.8,58,59,55,7,None,2,Small,2,1,5,141,No,Upscale,69,N/A,3,No,No,No,Yes,No,Yes,No
857925493442744484,Southend-on-Sea,3874,96.85,11,353,5,5,None,2,Small,2,2,4,188,Yes,Midscale,13,5,3,No,No,No,Yes,No,No,No
1349880001168245660,Southend-on-Sea,3893,84.62,72,64,20,4,None,1,Individual,2,1,5,89,Yes,Midscale,26,4.5,4,No,No,No,Yes,No,No,No
739094432558718693,Southend-on-Sea,4182,154.9,14,193,16,2,Low,2,Individual,2,1,4,173,No,Upscale,5,4.9,29,No,No,No,Yes,No,Yes,No
1282554593422093151,Southend-on-Sea,4383,91.32,37,129,4,4,Low,1,Small,2,2,4,86,Yes,Midscale,50,4.86,7,No,No,No,Yes,No,No,No
806335090663386194,Southend-on-Sea,4579,70.45,66,98,40,26,None,21,Small,2,1.5,2,90,No,Midscale,116,5,1,No,No,No,Yes,No,Yes,No
1094955836129864716,Southend-on-Sea,4651,35.78,55,237,29,5,None,1,Individual,2,1,4,47,Yes,Economy,129,0,0,No,No,No,Yes,No,No,No
1283154940903260214,Southend-on-Sea,5188,99.77,43,121,17,3,Low,1,Small,2,2,4,85,Yes,Midscale,58,4.82,17,No,No,No,Yes,No,No,No
1131718955998595717,Southend-on-Sea,5248,67.28,27,288,18,6,None,2,Moderate,2,1,4,111,Yes,Economy,22,3.33,6,No,No,No,Yes,No,No,No
683762534801863629,Southend-on-Sea,5450,90.83,17,360,60,16,None,1,Individual,2,1,4,125,Yes,Midscale,1,4.71,7,No,No,No,Yes,No,No,No
50909813,Southend-on-Sea,5485,111.95,32,155,17,6,Low,3,Small,2,1,4,140,Yes,Upscale,51,5,2,No,No,No,Yes,No,No,No
1202234563518210970,Southend-on-Sea,5501,112.26,52,95,11,12,High,1,Small,2,1,4,158,No,Upscale,17,4,1,No,No,No,Yes,No,No,No
1313005015775241368,Southend-on-Sea,5836,91.18,59,108,18,10,Moderate,2,Moderate,2,1,4,101,Yes,Midscale,31,4.7,10,No,No,No,Yes,No,No,No
622310220497091408,Southend-on-Sea,6108,68.63,25,361,25,18,None,3,Small,2,1,4,90,Yes,Economy,5,4.84,25,No,No,No,Yes,No,No,No
1070459064308921434,Southend-on-Sea,6430,98.92,62,105,59,18,None,1,Individual,2,1,4,115,Yes,Midscale,87,4.8,20,No,No,No,Yes,No,Yes,No
1343672550361276060,Southend-on-Sea,6642,120.76,62,89,5,4,None,1,Individual,2,1,5,131,Yes,Upscale,7,5,8,No,No,No,Yes,No,No,No
1100837280560685540,Southend-on-Sea,6791,97.01,67,104,1,21,None,20,Small,2,1,4,119,Yes,Midscale,262,5,1,No,No,No,Yes,No,Yes,No
1297860392335976712,Southend-on-Sea,7220,106.17,65,104,17,5,High,2,Individual,2,1,6,101,Yes,Upscale,49,4.54,13,No,No,No,Yes,No,Yes,No
1031155930214735325,Southend-on-Sea,7295,93.53,21,365,11,41,None,28,Moderate,2,1.5,7,143,Yes,Midscale,1,4.68,0,No,No,No,Yes,No,Yes,No
748293995568946776,Southend-on-Sea,7320,88.19,73,113,67,5,None,2,Individual,2,1,4,89,No,Midscale,8,4.95,65,No,No,No,Yes,No,No,No
52647831,Southend-on-Sea,7424,125.82,22,273,67,3,None,1,Individual,2,1,4,134,Yes,Upscale,93,4.99,75,No,No,No,Yes,No,No,No
1301676430591760091,Southend-on-Sea,7728,104.44,58,128,7,18,None,3,Small,2,2,5,133,Yes,Midscale,9,4.67,3,No,No,No,Yes,No,No,No
1080550701014587255,Southend-on-Sea,8075,75.47,30,351,2,45,Low,28,Small,2,1,4,100,Yes,Midscale,15,1,1,No,No,No,Yes,No,No,No
31349073,Southend-on-Sea,8398,97.65,29,292,46,15,None,2,Small,2,1,4,122,Yes,Midscale,74,4.61,28,No,No,No,Yes,No,No,No
1074766758649924086,Southend-on-Sea,8512,75.33,48,234,18,4,High,2,Individual,2,1,3,100,Yes,Midscale,52,4.75,4,No,No,No,Yes,No,No,No
1133913561877677226,Southend-on-Sea,8526,60.04,75,190,15,6,Low,2,Small,2,1,4,73,Yes,Economy,70,5,6,No,No,No,Yes,No,Yes,No
684546027343220185,Southend-on-Sea,8655,92.08,41,232,41,4,Moderate,2,Small,2,1,4,97,Yes,Midscale,55,4.94,79,No,No,No,Yes,No,No,No
43357176,Southend-on-Sea,8660,80.19,68,160,12,20,Moderate,2,Small,2,1,5,97,No,Midscale,87,4.59,46,No,No,No,Yes,No,No,No
848229846069527563,Southend-on-Sea,8681,82.68,74,142,45,5,None,2,Small,2,1,4,104,Yes,Midscale,224,4.93,14,No,No,No,Yes,No,No,No
823001367272503030,Southend-on-Sea,8764,81.14,54,200,6,22,None,7,Small,2,1,4,87,Yes,Midscale,166,4.56,9,No,No,No,Yes,No,No,No
1085510208960129527,Southend-on-Sea,8818,76.68,68,170,2,12,Low,2,Individual,2,2,5,104,Yes,Midscale,7,5,2,No,No,No,Yes,No,No,No
1241719672796167449,Southend-on-Sea,8840,90.2,88,112,43,35,Low,2,Individual,2,1.5,4,125,Yes,Midscale,132,5,4,No,No,No,Yes,No,No,No
1239905142621869405,Southend-on-Sea,8987,69.66,63,204,6,12,High,2,Moderate,2,1,4,80,Yes,Midscale,12,4.89,9,No,No,No,Yes,No,Yes,No
863412068803171310,Southend-on-Sea,9272,71.88,64,202,12,7,None,2,Large,2,1,4,89,Yes,Midscale,24,4.19,16,No,No,No,Yes,No,No,No
